procesos,q,longitud,tiempo_tot,tiempo_comm,tiempo_ejec
2,10,10,0.000391777,3.30132e-05,0.0003587638
4,10,10,0.00051526,4.90648e-05,0.00046619520000000005
8,10,10,0.0005566204,5.54778e-05,0.0005011426
12,10,10,0.0025306659999999996,6.5769e-05,0.0024649
2,100,100,0.0017918839999999999,5.4893400000000005e-05,0.00173699
4,100,100,0.002485506,0.0001458438,0.0023396640000000004
8,100,100,0.0030006300000000002,0.0002945682,0.00270606
12,100,100,0.03639302,0.02202752,0.014365510000000001
2,1000,1000,0.016085719999999998,0.000916141,0.015169579999999998
4,1000,1000,0.0201035,0.0011589395999999999,0.01894456
8,1000,1000,0.02561944,0.002868018,0.02275144
12,1000,1000,0.04985434,0.016253194000000002,0.03360114
2,10000,10000,0.15315039999999996,0.0024080200000000003,0.1507426
4,10000,10000,0.1758188,0.004076300000000001,0.17174260000000002
8,10000,10000,0.2391022,0.009376548,0.229726
12,10000,10000,0.3442393999999999,0.041030859999999995,0.3032088
2,100000,100000,1.8735959999999998,0.01231824,1.8612760000000002
4,100000,100000,2.346174,0.02825956,2.317912
8,100000,100000,3.103752,0.059108060000000004,3.044646
12,100000,100000,3.7502679999999997,0.09913773999999999,3.6511319999999996
2,1000000,1000000,2.0361179999999997,0.002639888,2.033476
4,1000000,1000000,1.3602859999999999,0.00450366,1.355782
8,1000000,1000000,1.2084439999999999,0.010261874,1.198184
12,1000000,1000000,1.3032920000000001,0.09541466,1.2078760000000002
