procesos,q,longitud,tiempo_tot,tiempo_comm,tiempo_ejec
1,10,10,1.3967800000000002e-05,1.26476e-05,1.3202e-06
2,10,10,2.5524800000000003e-05,2.2506199999999998e-05,3.0185999999999998e-06
3,10,10,3.144526e-05,2.7511200000000005e-05,3.9340660000000005e-06
4,10,10,3.9400800000000004e-05,3.46352e-05,4.765599999999999e-06
5,10,10,4.8703000000000004e-05,4.3315199999999995e-05,5.3877999999999995e-06
6,10,10,4.1306440000000004e-05,3.69644e-05,4.342034000000001e-06
7,10,10,4.2714220000000007e-05,3.80274e-05,4.6868280000000005e-06
8,10,10,3.990036e-05,3.46508e-05,5.249578e-06
9,10,10,4.804016e-05,4.221780000000001e-05,5.822376e-06
10,10,10,4.481582e-05,3.9135600000000005e-05,5.68022e-06
1,10,100,2.3554000000000002e-05,2.16938e-05,1.8602000000000002e-06
2,10,100,3.55761e-05,3.2496599999999996e-05,3.0795e-06
3,10,100,4.6630339999999996e-05,4.24446e-05,4.185734e-06
4,10,100,7.336612e-05,6.58554e-05,7.51076e-06
5,10,100,5.287627999999999e-05,4.66678e-05,6.20848e-06
6,10,100,5.779772e-05,5.23638e-05,5.433932e-06
7,10,100,5.5471760000000004e-05,5.0108e-05,5.363770000000001e-06
8,10,100,4.939894e-05,4.462779999999999e-05,4.771154e-06
9,10,100,0.00011613996000000002,0.000109215,6.925064000000001e-06
10,10,100,6.545392000000001e-05,5.81788e-05,7.27512e-06
11,10,100,6.176624e-05,5.55094e-05,6.256836e-06
12,10,100,7.366838e-05,6.536e-05,8.308346e-06
1,10,1000,8.19148e-05,7.40056e-05,7.9092e-06
2,10,1000,0.00010267679999999999,9.63292e-05,6.3473999999999996e-06
3,10,1000,8.688808e-05,8.15202e-05,5.367868e-06
4,10,1000,9.7989e-05,9.21044e-05,5.884549999999999e-06
5,10,1000,0.00012451088,0.000118491,6.019720000000001e-06
6,10,1000,0.00010453249999999999,9.83702e-05,6.1622e-06
7,10,1000,0.00013075551999999999,0.0001240404,6.715200000000001e-06
8,10,1000,0.00013696174000000003,0.00012945819999999998,7.503487999999999e-06
9,10,1000,0.00010198595999999999,9.62768e-05,5.709024e-06
10,10,1000,0.00012513982,0.00011797980000000002,7.16026e-06
11,10,1000,0.0002539996,0.0002376254,1.6374182e-05
12,10,1000,0.00020716179999999998,0.00019296840000000001,1.4193364e-05
1,10,10000,0.0005353012,0.0004806836,5.46176e-05
2,10,10000,0.0005318908000000001,0.0005015894,3.03014e-05
3,10,10000,0.0006901138000000001,0.0006637756,2.6338199999999998e-05
4,10,10000,0.0006378009999999999,0.000610778,2.702276e-05
5,10,10000,0.0007205032,0.0006919786000000001,2.852548e-05
6,10,10000,0.0009741972000000002,0.0009427551999999998,3.1441399999999993e-05
7,10,10000,0.0007162207999999999,0.0007003046000000001,1.591638e-05
8,10,10000,0.0007445096,0.0007187472,2.576228e-05
9,10,10000,0.0011623534,0.0011315610000000001,3.07934e-05
10,10,10000,0.0011156590000000002,0.001099776,1.58827e-05
11,10,10000,0.0013764552,0.0013483794,2.807446e-05
12,10,10000,0.0010798500000000003,0.0010571494,2.269976e-05
1,10,100000,0.006371560000000001,0.0057628,0.0006087618
2,10,100000,0.007231151999999999,0.00687565,0.0003555046
3,10,100000,0.006964297999999999,0.00670926,0.00025503900000000004
4,10,100000,0.008288046,0.008063692,0.00022434619999999998
5,10,100000,0.008562828,0.008394858000000002,0.0001679548
6,10,100000,0.007662812,0.007527346,0.000135465
7,10,100000,0.009165282,0.009008328,0.0001569588
8,10,100000,0.010132844000000002,0.009961292,0.00017152596000000002
9,10,100000,0.010335236000000001,0.0102228,0.00011245214
10,10,100000,0.010944802,0.010828222000000002,0.00011659312000000001
11,10,100000,0.009874247999999999,0.009755454,0.00011879347999999999
12,10,100000,0.011609646,0.011330148,0.00027948506
1,10,1000000,0.05876826,0.05340069999999999,0.00536755
2,10,1000000,0.06601325999999999,0.0625391,0.003474194
3,10,1000000,0.06970608,0.06725724,0.002448798
4,10,1000000,0.08011988,0.07807700000000001,0.002042808
5,10,1000000,0.07737532,0.07566076000000001,0.001714596
6,10,1000000,0.08236726,0.08079472000000001,0.001572538
7,10,1000000,0.09691416,0.09518214,0.001731974
8,10,1000000,0.09953322,0.09807163999999999,0.001461488
9,10,1000000,0.09970009999999999,0.0984613,0.00123898
10,10,1000000,0.1028434,0.1016718,0.0011718059999999998
11,10,1000000,0.11047224,0.10932460000000002,0.0011477068
12,10,1000000,0.1301556,0.1291676,0.0009878434
1,10,10000000,0.5673210000000001,0.5109414,0.056379639999999995
2,10,10000000,0.5758547999999999,0.5464376,0.02941724
3,10,10000000,0.6358542,0.613051,0.02280354
4,10,10000000,0.7128336,0.6935952000000001,0.019238479999999995
5,10,10000000,0.7748422,0.7577444000000001,0.01709794
6,10,10000000,0.8290141999999999,0.8141862,0.014828299999999999
7,10,10000000,0.9037286,0.888787,0.01494248
8,10,10000000,0.9749589999999999,0.9617150000000001,0.013244040000000002
9,10,10000000,1.0191104,1.0058070000000001,0.013303699999999998
10,10,10000000,1.04356,1.029334,0.01422486
11,10,10000000,1.191564,1.1796659999999999,0.01189746
12,10,10000000,1.179488,1.1672259999999999,0.01226294
1,100,10,2.28722e-05,1.5771200000000002e-05,7.101e-06
2,100,10,5.1700200000000003e-05,4.18094e-05,9.8908e-06
3,100,10,6.612085999999999e-05,5.3263799999999996e-05,1.2857053999999998e-05
4,100,10,9.475436e-05,7.7948e-05,1.6806300000000002e-05
5,100,10,0.00013876239999999998,0.00011359759999999999,2.516504e-05
6,100,10,0.00022729539999999997,0.0002060462,2.124934e-05
7,100,10,0.00012176252,0.00010486520000000002,1.689752e-05
8,100,10,0.00025025059999999997,0.00023499840000000002,1.5252240000000002e-05
9,100,10,0.00044407320000000003,0.00040864379999999993,3.542974e-05
10,100,10,0.0002495956,0.0002236966,2.5899180000000003e-05
1,100,100,3.3165e-05,2.3082399999999998e-05,1.00826e-05
2,100,100,0.00011101960000000002,9.0087e-05,2.09325e-05
3,100,100,0.00010661732,9.48154e-05,1.1801986e-05
4,100,100,9.38656e-05,7.813119999999999e-05,1.573446e-05
5,100,100,0.00020444639999999997,0.00016586280000000002,3.858376e-05
6,100,100,0.0001559062,0.000135074,2.0832440000000003e-05
7,100,100,0.0001507542,0.0001240554,2.6698679999999998e-05
8,100,100,0.00019196300000000002,0.00016619440000000002,2.5768220000000003e-05
9,100,100,0.0002241714,0.0002012806,2.289068e-05
10,100,100,0.0004602016,0.00042126739999999994,3.893356e-05
11,100,100,0.0153527466,0.015326648599999998,2.6111859999999994e-05
12,100,100,0.021208124000000002,0.021181090000000003,2.7058099999999998e-05
1,100,1000,9.82408e-05,8.39362e-05,1.4304600000000002e-05
2,100,1000,0.0001219964,0.00010917280000000002,1.28239e-05
3,100,1000,0.0001532708,0.000139696,1.357486e-05
4,100,1000,0.00020790220000000003,0.00018204880000000003,2.58534e-05
5,100,1000,0.0002947284,0.0002760214,1.87072e-05
6,100,1000,0.0002651366,0.0002422452,2.28914e-05
7,100,1000,0.0004216644,0.00038321400000000005,3.845044e-05
8,100,1000,0.0002643798,0.000244618,1.976176e-05
9,100,1000,0.00023774219999999997,0.000219298,1.844398e-05
10,100,1000,0.0005979082,0.0005769468,2.096142e-05
11,100,1000,0.0005180258,0.0004882218,2.9804e-05
12,100,1000,0.0007845979999999998,0.0007608858,2.371288e-05
1,100,10000,0.0005800508,0.000520732,5.931879999999999e-05
2,100,10000,0.0005672432,0.0005301468000000001,3.70963e-05
3,100,10000,0.0007592642,0.0007167479999999999,4.2516200000000005e-05
4,100,10000,0.0009099065999999999,0.000876513,3.339434e-05
5,100,10000,0.0011871158,0.0011568027999999998,3.031168e-05
6,100,10000,0.0010141068,0.0009714896000000001,4.261660000000001e-05
7,100,10000,0.0009705247999999998,0.0009428215999999999,2.7704539999999998e-05
8,100,10000,0.0011021606,0.0010616409999999999,4.0518779999999994e-05
